Date,open,High,Low,close,adj_close,volume
2019-01-02,22.549999,24.200001,22.280001,24.059999,23.765604,10.4534800
2019-01-03,23.959999,24.820000,23.799999,24.650000,24.348383,95.206400
2019-01-04,24.850000,24.940001,24.469999,24.719999,24.417526,72.119800
2019-01-07,24.850000,25.920000,24.700001,25.110001,24.802757,12.1711900
2019-01-08,25.400000,25.420000,24.770000,24.959999,24.654589,68.761800
2019-01-09,25.299999,25.500000,25.150000,25.480000,25.168226,70.177600
2019-01-10,25.260000,25.410000,25.070000,25.260000,24.950920,54.763700
2019-01-11,25.150000,25.190001,24.840000,24.990000,24.684223,53.980700
2019-01-14,24.820000,25.090000,24.660000,24.850000,24.545937,46.577300
2019-01-15,24.830000,25.120001,24.700001,24.830000,24.526182,53.731500
2019-01-16,24.799999,24.900000,24.660000,24.820000,24.516304,40.425000
2019-01-17,24.750000,25.299999,24.680000,25.160000,24.852144,50.359400
2019-01-18,25.440001,25.559999,25.280001,25.400000,25.089207,67.021300
2019-01-21,25.309999,25.530001,25.100000,25.530001,25.217615,45.336500
2019-01-22,25.260000,25.500000,25.020000,25.129999,24.822510,61.307000
2019-01-23,25.330000,25.540001,25.160000,25.430000,25.118839,52.931600
2019-01-24,25.400000,25.540001,25.320000,25.540001,25.227497,40.109000
2019-01-28,25.290001,25.530001,24.740000,24.770000,24.466917,65.079900
2019-01-29,25.250000,25.559999,25.110001,25.370001,25.059574,59.419200
2019-01-30,25.809999,25.930000,25.469999,25.620001,25.306515,62.607500
2019-01-31,25.870001,25.959999,25.559999,25.580000,25.267004,63.253600
2019-02-01,25.500000,25.850000,25.370001,25.799999,25.484310,47.957400
2019-02-04,25.840000,26.120001,25.600000,26.030001,25.711498,53.874900
2019-02-05,25.910000,26.100000,25.809999,26.080000,25.760887,40.989100
2019-02-06,25.799999,25.840000,25.320000,25.490000,25.178106,64.527000
2019-02-07,25.600000,25.850000,24.660000,25.090000,24.782999,55.614100
2019-02-08,24.799999,25.280001,24.730000,25.129999,24.822510,40.153900
2019-02-11,25.170000,25.170000,24.540001,24.840000,24.536058,39.617300
2019-02-12,25.320000,25.850000,25.230000,25.719999,25.405291,72.467200
2019-02-13,26.020000,26.209999,25.850000,26.049999,25.731253,69.042200
2019-02-14,26.170000,26.950001,26.000000,26.950001,26.620241,81.125500
2019-02-15,26.860001,27.020000,26.709999,26.840000,26.511587,63.841800
2019-02-18,26.590000,26.790001,26.410000,26.760000,26.432568,43.379000
2019-02-19,26.860001,27.400000,26.840000,27.379999,27.044979,58.041900
2019-02-20,27.500000,27.660000,26.870001,27.040001,26.709141,55.114500
2019-02-21,27.180000,27.490000,26.820000,27.400000,27.064734,46.559400
2019-02-22,27.549999,27.700001,27.129999,27.129999,26.798038,36.602000
2019-02-25,27.000000,27.030001,26.629999,26.700001,26.373302,54.190800
2019-02-26,26.760000,27.139999,26.570000,26.580000,26.254768,46.504200
2019-02-27,26.840000,27.250000,26.629999,27.080000,26.748650,49.131400
2019-02-28,27.719999,27.750000,26.600000,27.059999,26.728895,93.065100
2019-03-01,27.139999,27.250000,26.629999,26.700001,26.373302,41.978700
2019-03-06,26.549999,26.760000,26.469999,26.760000,26.432568,18.423400
2019-03-07,26.799999,26.910000,26.490000,26.770000,26.442444,32.835300
2019-03-08,26.490000,26.750000,26.219999,26.670000,26.343668,49.564400
2019-03-11,27.020000,27.780001,27.010000,27.750000,27.410452,66.742800
2019-03-12,27.790001,27.959999,27.250000,27.500000,27.163511,64.287300
2019-03-13,27.590000,28.129999,27.520000,28.100000,27.756170,61.057200
2019-03-14,28.150000,28.200001,27.910000,28.190001,27.845070,42.777800
2019-03-15,28.160000,28.389999,28.110001,28.250000,27.904335,61.041100
2019-03-18,28.350000,28.790001,28.260000,28.740000,28.388336,91.920600
2019-03-19,28.850000,29.500000,28.600000,29.200001,28.842710,69.423600
2019-03-20,29.200001,29.600000,28.900000,28.969999,28.615522,68.878000
2019-03-21,28.840000,28.969999,27.920000,28.559999,28.210539,80.121300
2019-03-22,27.940001,28.139999,27.000000,27.000000,26.669630,10.4731100
2019-03-25,26.830000,27.590000,26.820000,27.340000,27.005468,10.4772900
2019-03-26,27.740000,28.680000,27.719999,28.629999,28.279684,91.549100
2019-03-27,28.209999,28.209999,27.340000,27.340000,27.005468,66.415400
2019-03-28,27.250000,28.059999,26.950001,28.059999,27.716660,69.412700
2019-03-29,28.450001,28.530001,27.740000,28.059999,27.716660,51.587400
2019-04-01,28.400000,28.420000,27.870001,28.000000,27.657393,42.289800
2019-04-02,28.139999,28.299999,27.860001,28.290001,27.943846,38.460600
2019-04-03,28.530001,28.559999,27.540001,27.540001,27.203022,55.120900
2019-04-04,27.770000,28.469999,27.370001,28.469999,28.121641,52.248100
2019-04-05,28.540001,28.889999,28.209999,28.780001,28.427851,54.708900
2019-04-08,29.059999,29.389999,28.980000,29.250000,28.892099,55.270000
2019-04-09,29.030001,29.240000,28.670000,29.160000,28.803200,43.863700
2019-04-10,29.549999,29.570000,28.780001,28.780001,28.427851,62.005200
2019-04-11,28.700001,28.700001,27.870001,28.000000,27.657393,56.126400
2019-04-12,26.469999,26.969999,25.570000,25.830000,25.513945,22.7307600
2019-04-15,26.350000,26.580000,25.549999,25.930000,25.612722,11.7567200
2019-04-16,25.950001,27.059999,25.629999,26.719999,26.393053,95.149300
